title,journal,year,pages,volume,authors,keywords,pmid,issue,abstract
"Transcranial direct current stimulation (tDCS) for improving function and activities of daily living in patients after stroke.","The Cochrane database of systematic reviews",2013,CD009645,11,Array,Array,24234980,,"Stroke is one of the leading causes of disability worldwide. Functional impairment resulting in poor performance in activities of daily living (ADLs) among stroke survivors is common. Current rehabilitation approaches have limited effectiveness in improving ADL performance and function after stroke, but a possible adjunct to stroke rehabilitation might be non-invasive brain stimulation by transcranial direct current stimulation (tDCS) to modulate cortical excitability and hence to improve ADL performance and function."
"Effects of dual transcranial direct current stimulation for aphasia in chronic stroke patients.","Annals of rehabilitation medicine",2013,CD009645,37,Array,Array,24233579,5,"To assess the effects of tDCS on generic activities of daily living (ADLs) and motor function in people with stroke."
"[Transcranial Direct Current Stimulation for chronic pain].","Tidsskrift for den Norske lægeforening : tidsskrift for praktisk medicin, ny række",2013,CD009645,133,Array,Array,24226334,21,"We searched the Cochrane Stroke Group Trials Register (March 2013), the Cochrane Central Register of Controlled Trials (CENTRAL) (The Cochrane Library, May 2013), MEDLINE (1948 to May 2013), EMBASE (1980 to May 2013), CINAHL (1982 to May 2013), AMED (1985 to May 2013), Science Citation Index (1899 to May 2013) and four additional databases. In an effort to identify further published, unpublished and ongoing trials, we searched trials registers and reference lists, handsearched conference proceedings and contacted authors and equipment manufacturers."
"Do Studies on Cortical Plasticity Provide a Rationale for Using Non-Invasive Brain Stimulation as a Treatment for Parkinson's Disease Patients?","Frontiers in neurology",2013,CD009645,4,Array,Array,24223573,,"We included only randomised controlled trials (RCTs) and randomised controlled cross-over trials (from which we analysed only the first period as a parallel-group design) that compared tDCS versus control in adults with stroke for improving ADL performance and function."
"Randomized Trial of Transcranial Direct Current Stimulation and Hearing Aids for Tinnitus Management.","Neurorehabilitation and neural repair",2013,CD009645,,Array,Array,24213961,,"Two review authors independently assessed trial quality (JM and MP) and extracted data (BE and JM). If necessary, we contacted study authors to ask for additional information. We collected information on dropouts and adverse events from the trial reports."
"Transcranial Direct Current Stimulation to Lessen Neuropathic Pain After Spinal Cord Injury: A Mechanistic PET Study.","Neurorehabilitation and neural repair",2013,CD009645,,Array,Array,24213958,,"We included 15 studies involving a total of 455 participants. Analysis of six studies involving 326 participants regarding our primary outcome, ADL, showed no evidence of an effect in favour of tDCS at the end of the intervention phase (mean difference (MD) 5.31 Barthel Index (BI) points; 95% confidence interval (CI) -0.52 to 11.14; inverse variance method with random-effects model), whereas at follow-up (MD 11.13 BI points; 95% CI 2.89 to 19.37; inverse variance method with random-effects model), we found evidence of an effect. However, the confidence intervals were wide and the effect was not sustained when only studies with low risk of bias were included. For our secondary outcome, upper limb function, we analysed eight trials with 358 participants, which showed evidence of an effect in favour of tDCS at the end of the intervention phase (MD 3.45 Upper Extremity Fugl-Meyer Score points (UE-FM points); 95% CI 1.24 to 5.67; inverse variance method with random-effects model) but not at the end of follow-up three months after the intervention (MD 9.23 UE-FM points; 95% CI -13.47 to 31.94; inverse variance method with random-effects model). These results were sensitive to inclusion of studies at high risk of bias. Adverse events were reported and the proportions of dropouts and adverse events were comparable between groups (risk difference (RD) 0.00; 95% CI -0.02 to 0.03; Mantel-Haenszel method with random-effects model)."
"Functional near-infrared spectroscopy maps cortical plasticity underlying altered motor performance induced by transcranial direct current stimulation.","Journal of biomedical optics",2013,CD009645,18,Array,Array,24193947,11,"At the moment, evidence of very low to low quality is available on the effectiveness of tDCS (anodal/cathodal/dual) versus control (sham/any other intervention) for improving ADL performance and function after stroke. Future research should investigate the effects of tDCS on lower limb function and should address methodological issues by routinely reporting data on adverse events and dropouts and allocation concealment, and by performing intention-to-treat analyses."
"""If two witches would watch two watches, which witch would watch which watch?"" tDCS over the left frontal region modulates tongue twister repetition in healthy subjects.",Neuroscience,2013,CD009645,,Array,Array,24184977,,"To investigate any additional effect of dual transcranial direct current stimulation (tDCS) compared with single tDCS in chronic stroke patients with aphasia."
"Long-term effects of transcranial direct current stimulation combined with computer-assisted cognitive training in healthy older adults.",Neuroreport,2013,CD009645,,Array,Array,24176927,,"Eleven chronic stroke patients (aged 52.6±13.4 years, nine men) with aphasia were enrolled. Single anodal tDCS was applied over the left inferior frontal gyrus (IFG) and a cathodal electrode was placed over the left buccinator muscle. Dual tDCS was applied as follows: 1) anodal tDCS over the left IFG and cathodal tDCS over the left buccinator muscle and 2) cathodal tDCS over the right IFG and anodal tDCS over the right buccinator muscle. Each tDCS was delivered for 30 minutes at a 2-mA intensity. Speech therapy was provided during the last 15 minutes of the tDCS. Before and after the stimulation, the Korean-Boston Naming Test and a verbal fluency test were performed."
"Modelling the electric field and the current density generated by cerebellar transcranial DC stimulation in humans.","Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology",2013,CD009645,,Array,Array,24176297,,"The dual tDCS produced a significant improvement in the response time for the Korean-Boston Naming Test compared with the baseline assessment, with a significant interaction between the time and type of interventions. Both single and dual tDCS produced a significant improvement in the number of correct responses after stimulation with no significant interaction. No significant changes in the verbal fluency test were observed after single or dual tDCS."
"Polarizing cerebellar neurons with transcranial Direct Current Stimulation.","Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology",2013,,,Array,Array,24176296,,"Purpose: To assess the effects of atDCS on motor performance in patients with multiple sclerosis (MS). Previously, anodal transcranial direct current stimulation (atDCS) has been shown to improve motor performance in healthy subjects and neurodegenerative populations. However, the effect of atDCS on motor performance is not examined in MS. Methods: In the current study, a sham controlled double-blind crossover design was used to evaluate the effect of 20 minutes of 1 mA atDCS or sham tDCS (stDCS) on a unimanual motor sequence-training task, consisting of sequential finger presses on a computer keyboard with the most impaired hand. Patients received stimulation (atDCS or stDCS) during motor training. tDCS was applied over the primary motor cortex contralateral to the most impaired hand. Motor performance was assessed immediately before, during and 30 minutes after stimulation. Results: Although we need to be careful with the interpretation of the data due to lack of power, our results showed no significant effect of atDCS on motor performance. Conclusions: Our findings indicate that atDCS-supported motor training was not able to improve motor performance more than sham-supported motor training. Possibly, the effects of atDCS are mediated by specific MS-related characteristics. Furthermore, increasing atDCS intensity and offering multiple stimulation sessions might be necessary to optimize motor performance resulting from atDCS-supported motor training."
